person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,games_played_flag,position,draft_year,draft_round,draft_num,birth_date,height_feet,height_inches,height,weight,season_exp,jersey,school,country,last_affiliation
76170,"Birdsong, Otis",Otis Birdsong,f,1977,1988,HISTADD_otis_birdsong,Y,Guard,1977,1,,,6,3,6.25,190,11,12,Houston,USA,Houston/USA
76171,"Bishop, Gale",Gale Bishop,f,1948,1948,HISTADD_gale_bishop,Y,Forward,,,,,6,3,6.25,195,0,11,Washington State,USA,Washington State/USA
202687,"Biyombo, Bismack",Bismack Biyombo,t,2011,2018,bismack_biyombo,Y,Center,2011,1,,,6,9,6.75,255,7,,"Lubumbashi, DR Congo",Democratic Republic of the Congo,Baloncesto Fuenlabrada/Democratic Republic of Cong
202357,"Bjelica, Nemanja",Nemanja Bjelica,t,2015,2018,nemanja_bjelica,Y,Forward,2010,2,,,6,10,6.83333333333333,234,3,,,Serbia,Fenerbahce Ulker/Serbia
76172,"Blab, Uwe",Uwe Blab,f,1985,1989,HISTADD_uwe_blab,Y,Center,1985,1,,,7,1,7.08333333333333,252,4,33,Indiana,USA,Indiana/USA
76173,"Black, Charlie",Charlie Black,f,1948,1951,HISTADD_hawk_black,Y,Forward,,,,,6,4,6.33333333333333,200,2,21,Kansas,USA,Kansas/USA
76174,"Black, Norman",Norman Black,f,1980,1980,HISTADD_norman_black,Y,Guard,,,,,6,5,6.41666666666667,185,0,,Saint Joseph's,USA,St. Joseph's (PA)/USA
204028,"Black, Tarik",Tarik Black,t,2014,2018,tarik_black,Y,Forward-Center,,,,,6,9,6.75,250,4,28,Kansas,USA,KansasUSA/USA
76175,"Black, Tom",Tom Black,f,1970,1970,HISTADD_tom_black,Y,Center,1964,9,,,6,10,6.83333333333333,220,0,24,South Dakota State,USA,Wisconsin; South Dakota State/USA
76176,"Blackman, Rolando",Rolando Blackman,f,1981,1993,HISTADD_rolando_blackman,Y,Guard,1981,1,,,6,6,6.5,190,12,22,Kansas State,USA,Kansas State/USA
76180,"Blackwell, Alex",Alex Blackwell,f,1992,1992,HISTADD_alex_blackwell,Y,Forward,,,,,6,6,6.5,250,0,30,Monmouth,USA,Monmouth (N.J.)/USA
76177,"Blackwell, Cory",Cory Blackwell,f,1984,1984,HISTADD_cory_blackwell,Y,Forward,1984,2,,,6,6,6.5,210,0,30,Wisconsin,USA,Wisconsin/USA
1806,"Blackwell, James",James Blackwell,f,1994,1994,james_blackwell,Y,Guard,,,,,6,0,6,190,0,8,Dartmouth,USA,Dartmouth/USA
76179,"Blackwell, Nate",Nate Blackwell,f,1987,1987,HISTADD_nate_blackwell,Y,Guard,1987,2,,,6,4,6.33333333333333,170,0,3,Temple,USA,Temple/USA
203505,"Blue, Vander",Vander Blue,f,2013,2017,vander_blue,Y,,,,,,,,,,2,,Marquette,USA,Marquette/USA
1863,"Boykins, Earl",Earl Boykins,f,1998,2011,earl_boykins,Y,Guard,,,,,5,5,5.41666666666667,133,13,6,Eastern Michigan,USA,Eastern Michigan/USA
76224,"Boykoff, Harry",Harry Boykoff,f,1949,1950,HISTADD_bighesh_boykoff,Y,Center,,,,,6,9,6.75,225,1,16,St. John's (NY),USA,St. John's (N.Y.)/USA
76225,"Boynes, Winford",Winford Boynes,f,1978,1980,HISTADD_winford_boynes,Y,Guard,1978,1,,,6,6,6.5,185,2,6,San Francisco,USA,San Francisco/USA
200841,"Bozeman, Cedric",Cedric Bozeman,f,2006,2006,cedric_bozeman,Y,,,,,,,,,,0,,UCLA,USA,UCLA/USA
76226,"Bracey, Steve",Steve Bracey,f,1972,1974,HISTADD_steve_bracey,Y,Guard,1972,2,,,6,1,6.08333333333333,175,2,22,Tulsa,USA,Kilgore Coll. TX (J.C.); Tulsa/USA
202342,"Brackins, Craig",Craig Brackins,f,2010,2011,craig_brackins,Y,Forward,2010,1,,,6,10,6.83333333333333,230,2,33,Iowa State, ,Iowa State
76227,"Bradds, Gary",Gary Bradds,f,1964,1965,HISTADD_tex_bradds,Y,Forward,1964,1,,,6,8,6.66666666666667,210,1,33,Ohio State,USA,Ohio State/USA
76228,"Bradley, Alex",Alex Bradley,f,1981,1981,HISTADD_alex_bradley,Y,Forward,1981,4,,,6,6,6.5,215,0,30,Villanova,USA,Villanova/USA
76229,"Bradley, Alonzo",Alonzo Bradley,f,1977,1979,HISTADD_alonzo_bradley,Y,Forward,1977,2,,,6,6,6.5,190,2,22,Texas Southern,USA,Utica J.C. MS; Texas Southern/USA
202340,"Bradley, Avery",Avery Bradley,t,2010,2018,avery_bradley,Y,Guard,2010,1,,,6,2,6.16666666666667,180,8,11,Texas,USA,Texas/USA
76233,"Bradley, Bill",Bill Bradley,f,1967,1976,HISTADD_bill_bradley,Y,Forward,1965,,,,6,5,6.41666666666667,205,9,24,Princeton,USA,Princeton/USA
76230,"Bradley, Charles",Charles Bradley,f,1981,1983,HISTADD_charles_bradley,Y,Guard,1981,1,,,6,5,6.41666666666667,215,2,30,Wyoming,USA,Wyoming/USA
76231,"Bradley, Dudley",Dudley Bradley,f,1979,1988,HISTADD_dudley_bradley,Y,Guard,1979,1,,,6,6,6.5,195,8,22,North Carolina,USA,North Carolina/USA
76232,"Bradley, Joe",Joe Bradley,f,1949,1949,HISTADD_joe_bradley,Y,Guard,,,,,6,3,6.25,175,0,,Oklahoma State,USA,Oklahoma State/USA
2214,"Bradley, Michael",Michael Bradley,f,2001,2005,michael_bradley,Y,Forward,2001,1,,,6,10,6.83333333333333,245,4,5,Villanova,USA,Villanova/USA
762,"Bradley, Shawn",Shawn Bradley,f,1993,2004,shawn_bradley,Y,Center,1993,1,,,7,6,7.5,275,12,44,Brigham Young,USA,Brigham Young/USA
160,"Breaux, Tim",Tim Breaux,f,1994,1997,tim_breaux,Y,,,,,,,,,,2,,Wyoming,USA,Wyoming/USA
1628972,"Brown Jr., Troy",Troy Brown Jr.,t,2018,2018,troy_brown_jr,N,Forward,2018,1,,,6,7,6.58333333333333,215,0,,Oregon,USA,University of Oregon/USA
76287,"Browne, Jim",Jim Browne,f,1948,1949,HISTADD_jim_browne,Y,Center,,,,,6,10,6.83333333333333,235,1,,,USA,No College/USA
76288,"Brundy, Stanley",Stanley Brundy,f,1989,1989,HISTADD_marla_brumfield,Y,Forward,1989,2,,,6,6,6.5,210,0,21,DePaul,USA,DePaul/USA
1628973,"Brunson, Jalen",Jalen Brunson,t,2018,2018,jalen_brunson,N,Guard,2018,2,,,6,3,6.25,190,0,,Villanova,USA,Villanova University/USA
1594,"Brunson, Rick",Rick Brunson,f,1997,2005,rick_brunson,Y,Guard,,,,,6,4,6.33333333333333,190,8,9,Temple,USA,Temple/USA
1627852,"Brussino, Nicolas",Nicolas Brussino,f,2016,2017,nicolas_brussino,Y,,,,,,,,,,1,,,Argentina,Argentina/Argentina
76289,"Bryant, Emmette",Emmette Bryant,f,1964,1971,HISTADD_emmette_bryant,Y,Guard,1964,7,,,6,1,6.08333333333333,175,7,7,DePaul,USA,DePaul/USA
76290,"Bryant, Joe",Joe Bryant,f,1975,1982,HISTADD_joe_bryant,Y,Forward,1975,1,,,6,10,6.83333333333333,185,7,22,La Salle,USA,La Salle/USA
977,"Bryant, Kobe",Kobe Bryant,f,1996,2015,kobe_bryant,Y,Forward-Guard,1996,1,,,6,6,6.5,212,19,24,Lower Merion HS (PA),USA,Lower Merion HS (PA)/USA
95,"Bryant, Mark",Mark Bryant,f,1988,2002,mark_bryant,Y,Forward,1988,1,,,6,9,6.75,250,15,9,Seton Hall,USA,Seton Hall ''88/USA
1628418,"Bryant, Thomas",Thomas Bryant,t,2017,2018,thomas_bryant,Y,Center,2017,2,,,6,10,6.83333333333333,248,1,,Indiana,USA,Indiana/USA
76291,"Bryant, Wallace",Wallace Bryant,f,1983,1985,HISTADD_wallace_bryant,Y,Center,1982,2,,,7,0,7,245,2,31,San Francisco,USA,San Francisco/USA
76292,"Bryn, Torgeir",Torgeir Bryn,f,1989,1989,HISTADD_torgeir_bryn,Y,Forward,,,,,6,9,6.75,250,0,12,Texas State,USA,Mira Costa Coll. CA (J.C.); Southwest Texas State/
76293,"Buckhalter, Joe",Joe Buckhalter,f,1961,1962,HISTADD_joe_buckhalter,Y,Forward,1958,12,,,6,7,6.58333333333333,210,1,21,Tennessee State,USA,Tennessee State/USA
76294,"Bucknall, Steve",Steve Bucknall,f,1989,1989,HISTADD_steve_bucknall,Y,Forward,,,,,6,6,6.5,215,0,24,North Carolina,USA,North Carolina/USA
76295,"Buckner, Cleveland",Cleveland Buckner,f,1961,1962,HISTADD_cleveland_buckner,Y,Forward,1961,6,,,6,9,6.75,210,1,12,Jackson State,USA,Jackson State/USA
1761,"Buckner, Greg",Greg Buckner,f,1999,2008,greg_buckner,Y,Guard,1998,2,,,6,4,6.33333333333333,210,10,7,Clemson,USA,Clemson/USA
76296,"Buckner, Quinn",Quinn Buckner,f,1976,1985,HISTADD_quinn_buckner,Y,Guard,1976,1,,,6,3,6.25,190,9,25,Indiana,USA,Indiana/USA
76297,"Budd, Dave",Dave Budd,f,1960,1964,HISTADD_dave_budd,Y,Forward,1960,2,,,6,6,6.5,205,4,10,Wake Forest,USA,Wake Forest/USA
416,"Burton, Willie",Willie Burton,f,1990,1998,willie_burton,Y,,1990,1,,,,,,,7,,Minnesota,USA,Minnesota/USA
76353,"Carroll, Joe Barry",Joe Barry Carroll,f,1980,1990,HISTADD_joe_barry_carroll,Y,Center,1980,1,,,7,0,7,225,9,2,Purdue,USA,Purdue/USA
2679,"Carroll, Matt",Matt Carroll,f,2003,2012,matt_carroll,Y,,,,,,,,,,9,,Notre Dame,USA,Notre Dame/USA
1131,"Carruth, Jimmy",Jimmy Carruth,f,1996,1996,jimmy_carruth,Y,,,,,,,,,,0,,Virginia Tech,USA,Virginia Tech/USA
1853,"Carter, Anthony",Anthony Carter,f,1999,2011,anthony_carter,Y,,,,,,,,,,13,,Hawaii,USA,Hawaii/USA
76355,"Carter, Butch",Butch Carter,f,1980,1985,HISTADD_butch_carter,Y,Guard,1980,2,,,6,5,6.41666666666667,180,5,12,Indiana,USA,Indiana/USA
76356,"Carter, Fred",Fred Carter,f,1969,1976,HISTADD_fred_carter,Y,Guard,1969,3,,,6,3,6.25,185,7,3-5,Mount St. Mary's,USA,Mount St. Mary's/USA
76357,"Carter, George",George Carter,f,1967,1967,HISTADD_george_carter,Y,Forward,1967,8,,,6,4,6.33333333333333,210,0,12,St. Bonaventure,USA,St. Bonaventure/USA
76358,"Carter, Howard",Howard Carter,f,1983,1984,HISTADD_howard_carter,Y,Guard,1983,1,,,6,5,6.41666666666667,215,1,32,Louisiana State,USA,Louisiana State/USA
76359,"Carter, Jake",Jake Carter,f,1949,1949,HISTADD_jake_carter,Y,Forward,1948,,,,6,4,6.33333333333333,195,0,,Texas A&M-Commerce,USA,Texas A&M-Commerce/USA
1628975,"Carter, Jevon",Jevon Carter,t,2018,2018,jevon_carter,N,Guard,2018,2,,,6,2,6.16666666666667,196,0,,West Virginia,USA,West Virginia University/USA
2466,"Carter, Maurice",Maurice Carter,f,2002,2003,maurice_carter,Y,Guard,,,,,6,5,6.41666666666667,210,1,5,Louisiana State,USA,Louisiana State ''99/USA
76360,"Carter, Reggie",Reggie Carter,f,1980,1981,HISTADD_reggie_carter,Y,Guard,1979,2,,,6,3,6.25,175,1,35,St. John's (NY),USA,Hawaii; St. John's (N.Y.)/USA
76361,"Carter, Ron",Ron Carter,f,1978,1979,HISTADD_ron_carter,Y,Guard,1978,2,,,6,5,6.41666666666667,190,1,13,Virginia Military Institute,USA,Virginia Military Inst./USA
1713,"Carter, Vince",Vince Carter,t,1998,2018,vince_carter,Y,Guard-Forward,1998,1,,,6,6,6.5,220,20,15,North Carolina,USA,North Carolina/USA
1628976,"Carter Jr., Wendell",Wendell Carter Jr.,t,2018,2018,wendell_carter_jr,N,Forward,2018,1,,,6,10,6.83333333333333,251,0,,West Virginia,USA,Duke University/USA
203487,"Carter-Williams, Michael",Michael Carter-Williams,t,2013,2018,michael_carter-williams,Y,Guard,2013,1,,,6,6,6.5,190,5,1,Syracuse,USA,Syracuse/USA
76373,"Cervi, Al",Al Cervi,f,1949,1952,HISTADD_al_cervi,Y,Guard,,,,,5,11,5.91666666666667,170,3,15,,USA,No College/USA
57,"Christie, Doug",Doug Christie,f,1992,2006,doug_christie,Y,,1992,1,,,,,,,14,,Pepperdine,USA,Pepperdine/USA
202708,"Cole, Norris",Norris Cole,f,2011,2016,norris_cole,Y,Guard,2011,1,,,6,2,6.16666666666667,175,6,30,Cleveland State,USA,Cleveland State/USA
76412,"Coleman, Ben",Ben Coleman,f,1986,1993,HISTADD_ben_coleman,Y,Forward,1984,2,,,6,9,6.75,235,4,51,Maryland,USA,Minnesota; Maryland/USA
934,"Coleman, Derrick",Derrick Coleman,f,1990,2004,derrick_coleman,Y,,1990,1,,,,,,,14,,Syracuse,USA,Syracuse '90/USA
76413,"Coleman, E.C.",E.C. Coleman,f,1973,1978,HISTADD_ec_coleman,Y,Forward,1973,3,,,6,8,6.66666666666667,225,5,12,Houston Baptist,USA,Houston Baptist/USA
76414,"Coleman, Jack",Jack Coleman,f,1949,1957,HISTADD_jack_coleman,Y,Forward,1949,2,,,6,7,6.58333333333333,195,8,11,Louisville,USA,Louisville/USA
76415,"Coleman, Norris",Norris Coleman,f,1987,1987,HISTADD_norris_coleman,Y,Forward,1987,2,,,6,8,6.66666666666667,210,0,45,Kansas State,USA,Kansas State/USA
902,"Coles, Bimbo",Bimbo Coles,f,1990,2003,bimbo_coles,Y,Guard,1990,2,,,6,2,6.16666666666667,182,14,12,Virginia Tech,USA,Virginia Tech ''90/USA
2044,"Collier, Jason",Jason Collier,f,2000,2004,jason_collier,Y,Center,2000,1,,,7,0,7,260,5,40,Georgia Tech,USA,Georgia Tech/USA
76416,"Collins, Art",Art Collins,f,1980,1980,HISTADD_art_collins,Y,Guard,1976,6,,,6,4,6.33333333333333,185,0,44,St. Thomas (FL),USA,St. Thomas University (FL)/USA
76418,"Collins, Don",Don Collins,f,1980,1986,HISTADD_don_collins,Y,Guard,1980,1,,,6,6,6.5,190,5,12,Washington State,USA,Washington State/USA
76421,"Collins, Doug",Doug Collins,f,1973,1980,HISTADD_dupp_doug_collins,Y,Guard,1973,1,,,6,6,6.5,180,7,20,Illinois State,USA,Illinois State/USA
1530,"Collins, James",James Collins,f,1997,1997,james_collins,Y,Guard,1997,2,,,6,4,6.33333333333333,196,0,32,Florida State,USA,Florida State/USA
2260,"Collins, Jarron",Jarron Collins,f,2001,2010,jarron_collins,Y,,2001,2,,,,,,,9,,Stanford,USA,Stanford/USA
2215,"Collins, Jason",Jason Collins,f,2001,2013,jason_collins,Y,Center,2001,1,,,7,0,7,255,12,98,Stanford,USA,Stanford/USA
76419,"Collins, Jimmy",Jimmy Collins,f,1970,1971,HISTADD_jimmy_collins,Y,Guard,1970,1,,,6,2,6.16666666666667,175,1,22,New Mexico State,USA,New Mexico State/USA
1628381,"Collins, John",John Collins,t,2017,2018,john_collins,Y,Forward-Center,2017,1,,,6,10,6.83333333333333,235,1,20,Wake Forest,USA,Wake Forest/USA
200776,"Collins, Mardy",Mardy Collins,f,2006,2009,mardy_collins,Y,Guard,2006,1,,,6,6,6.5,220,4,25,Temple,USA,Temple/USA
202395,"Collins, Sherron",Sherron Collins,f,2010,2010,sherron_collins,Y,,,,,,,,,,0,,Kansas,USA,Kansas/USA
76469,"Crevier, Ron",Ron Crevier,f,1985,1985,HISTADD_ron_crevier,Y,Center,1983,4,,,7,0,7,235,0,42,Boston College,USA,Boston College/USA
76470,"Crisler, Hal",Hal Crisler,f,1946,1946,HISTADD_hal_crisler,Y,Forward,,,,,6,3,6.25,215,0,15,Iowa State,USA,San Jose State; Iowa State/USA
2343,"Crispin, Joe",Joe Crispin,f,2001,2001,joe_crispin,Y,Guard,,,,,6,0,6,185,1,11,Penn State,USA,Penn State/USA
76471,"Criss, Charlie",Charlie Criss,f,1977,1984,HISTADD_charlie_criss,Y,Guard,,,,,5,8,5.66666666666667,165,7,14,New Mexico State,USA,New Mexico JC; New Mexico State/USA
76472,"Crite, Winston",Winston Crite,f,1987,1988,HISTADD_winston_crite,Y,Forward,1987,3,,,6,7,6.58333333333333,233,1,12,Texas A&M,USA,Texas A&M/USA
201159,"Crittenton, Javaris",Javaris Crittenton,f,2007,2009,javaris_crittenton,Y,Guard,2007,1,,,6,5,6.41666666666667,200,2,8,Georgia Tech,USA,Georgia Tech/USA
76473,"Crocker, Dillard",Dillard Crocker,f,1948,1952,HISTADD_dillard_crocker,Y,Forward,,,,,6,4,6.33333333333333,205,3,7,Western Michigan,USA,Western Michigan/USA
76474,"Crompton, Jeffrey",Jeffrey Crompton,f,1978,1983,HISTADD_geoff_crompton,Y,Center,1978,4,,,6,11,6.91666666666667,280,4,41,North Carolina,USA,North Carolina/USA
76475,"Crosby, Terry",Terry Crosby,f,1979,1979,HISTADD_terry_crosby,Y,Guard,1979,3,,,6,4,6.33333333333333,195,0,12,Tennessee,USA,Tennessee/USA
1506,"Croshere, Austin",Austin Croshere,f,1997,2008,austin_croshere,Y,,1997,1,,,,,,,11,,Providence,USA,Providence/USA
76476,"Cross, Jeff",Jeff Cross,f,1985,1985,HISTADD_jeff_cross,Y,Forward,1984,3,,,6,10,6.83333333333333,240,0,38,Maine,USA,Maine/USA
76477,"Cross, Pete",Pete Cross,f,1970,1972,HISTADD_pete_cross,Y,Center,1970,2,,,6,9,6.75,230,2,41,San Francisco,USA,San Francisco/USA
76478,"Cross, Russell",Russell Cross,f,1983,1983,HISTADD_russell_cross,Y,Center,1983,1,,,6,10,6.83333333333333,215,0,40,Purdue,USA,Purdue/USA
2668,"Davis, Josh",Josh Davis,f,2003,2011,josh_davis,Y,,,,,,,,,,3,,Wyoming,USA,Wyoming/USA
76532,"Davis, Ralph",Ralph Davis,f,1960,1961,HISTADD_ralph_davis,Y,Guard,1960,3,,,6,4,6.33333333333333,180,1,25,Cincinnati,USA,Cincinnati/USA
1729,"Davis, Ricky",Ricky Davis,f,1998,2009,ricky_davis,Y,,1998,1,,,,,,,11,,Iowa,USA,Iowa/USA
76534,"Davis, Ron",Ron Davis,f,1976,1981,HISTADD_ron_davis,Y,Guard,1976,5,,,6,6,6.5,198,2,42,Washington State,USA,Glendale CC AZ; Washington State/USA
426,"Davis, Terry",Terry Davis,f,1989,2000,terry_davis,Y,Center-Forward,,,,,6,10,6.83333333333333,270,9,54,Virginia Union,USA,Virginia Union/USA
76536,"Davis, Walt",Walt Davis,f,1953,1957,HISTADD_buddy_davis,Y,Center,1952,2,,,6,8,6.66666666666667,205,4,12,Texas A&M,USA,Texas A&M/USA
1453,"Davis, Walter",Walter Davis,f,1977,1991,walter_davis,Y,Guard,1977,1,,,6,6,6.5,193,14,6,North Carolina,USA,North Carolina/USA
203958,"Dawkins, Andre",Andre Dawkins,f,2014,2014,andre_dawkins,Y,,,,,,,,,,0,,Duke,USA,Duke/USA
76539,"Dawkins, Darryl",Darryl Dawkins,f,1975,1988,HISTADD_darryl_dawkins,Y,Center,1975,1,,,6,11,6.91666666666667,251,13,50,,USA,No College/USA
1008,"Dawkins, Johnny",Johnny Dawkins,f,1986,1994,johnny_dawkins,Y,Guard,1986,1,,,6,2,6.16666666666667,165,8,12,Duke,USA,Duke/USA
76541,"Dawkins, Paul",Paul Dawkins,f,1979,1979,HISTADD_paul_dawkins,Y,Forward,1979,10,,,6,5,6.41666666666667,190,0,31,Northern Illinois,USA,Northern Illinois/USA
1626183,"Dawson, Branden",Branden Dawson,f,2015,2015,branden_dawson,Y,Forward,2015,2,,,6,6,6.5,225,1,22,Michigan State,USA,Michigan State/USA
201286,"Dawson, Eric",Eric Dawson,f,2011,2011,eric_dawson,Y,,,,,,,,,,1,,Midwestern State,USA,MidwesternUSAState/USA
76542,"Dawson, Tony",Tony Dawson,f,1990,1994,HISTADD_tony_dawson,Y,Forward,,,,,6,7,6.58333333333333,215,1,45,Florida State,USA,Gulf Coast CC FL; Florida State/USA
